employee_id,department,survey_date,satisfaction_score,work_life_balance,management_support,career_growth,team_collaboration,response_text
1001,Engineering,2026-01-15,7,8,6,5,9,Great team environment but limited growth opportunities
1002,Marketing,2026-01-16,9,,8,7,8,Very satisfied with work-life balance and supportive management
1003,Sales,2026-01-17,4,3,4,3,5,High pressure environment with poor work-life balance
1004,Engineering,,8,7,8,7,9,Good technical challenges and collaborative team
1005,HR,2026-01-19,6,7,5,,6,Decent work environment but lack career advancement
1006,Finance,2026-01-20,5,4,6,4,5,
1007,Marketing,2026-01-21,8,9,7,6,8,Flexible schedule and understanding managers
1008,,2026-01-22,3,2,3,2,4,Unrealistic targets and constant pressure from management
1009,Engineering,2026-01-23,9,8,9,8,10,Excellent work culture and innovative projects
1010,IT,2026-01-24,7,8,,6,7,Good remote work policy but slow decision making
1011,Finance,2026-01-25,,3,5,3,4,Overworked and underappreciated by leadership
1012,HR,2026-01-26,8,8,7,7,,Supportive colleagues and fair policies
1013,Marketing,,6,7,5,5,6,Average experience with some frustrations
1014,Sales,2026-01-28,5,,4,4,6,High stress levels due to aggressive sales quotas
1015,Engineering,2026-01-29,10,9,9,9,10,Dream job with amazing teammates and projects
1016,IT,2026-01-30,6,6,6,,7,Stable job but lacks exciting challenges
1017,Finance,2026-02-01,7,6,7,6,7,Reasonable workload with competent management
1018,,2026-02-02,5,5,4,4,5,Policy implementation issues and resistance to change
1019,Marketing,2026-02-03,9,10,8,7,9,
1020,Sales,2026-02-04,2,1,,1,3,Toxic management culture and unreasonable expectations
1021,Engineering,2026-02-05,8,7,8,8,9,Strong engineering culture with room for improvement
1022,IT,,7,8,6,6,8,Good team support but outdated technology stack
1023,Finance,2026-02-07,6,5,6,5,6,
1024,HR,2026-02-08,,7,7,6,7,Fair treatment and clear communication from leadership
1025,Marketing,2026-02-09,4,5,3,,4,Creative freedom limited by bureaucratic processes
1026,Sales,2026-02-10,6,5,5,5,6,Challenging but manageable sales environment
1027,,2026-02-11,9,9,8,8,10,Innovative projects and supportive management
1028,IT,2026-02-12,5,6,4,4,,Lack of resources and understaffed team
1029,Finance,2026-02-13,8,7,8,7,8,Professional environment with growth potential
1030,HR,,,,6,5,7,Partial survey response only
1031,Marketing,2026-02-15,7,8,,6,8,Good balance overall
1032,Sales,2026-02-16,,4,5,4,5,Missing satisfaction rating
1033,Engineering,2026-02-17,9,9,9,9,10,
1034,IT,2026-02-18,6,,6,5,6,Average IT department experience
1035,Finance,2026-02-19,5,5,5,,5,Standard finance role
1036,,2026-02-20,7,7,7,7,7,Department not recorded
1037,HR,2026-02-21,8,8,8,8,,Missing collaboration score
1038,Marketing,2026-02-22,,,,,8,Only collaboration score provided
1039,Sales,2026-02-23,4,4,4,4,4,All low scores across metrics
1040,Engineering,,10,10,10,10,10,Best team ever but date missing
